resultId,season,round,driverId,constructorId,grid,position,positionText,points,laps,status,time,fastestLapTime,fastestLapRank,fastestLapSpeed
492,2025,1,ocon,haas,19,13,13,0.00,57,Finished,+33.161,1:26.764,15,
493,2025,1,bearman,haas,20,14,14,0.00,57,Finished,+40.351,1:27.603,16,
494,2025,1,lawson,red_bull,18,15,R,0.00,46,Retired,,1:22.970,2,
495,2025,1,bortoleto,sauber,15,16,R,0.00,45,Retired,,1:24.192,5,
496,2025,1,alonso,aston_martin,12,17,R,0.00,32,Retired,,1:28.819,17,
497,2025,1,sainz,williams,10,18,R,0.00,0,Retired,,,NULL,
498,2025,1,doohan,alpine,14,19,R,0.00,0,Retired,,,NULL,
499,2025,1,hadjar,rb,11,20,R,0.00,0,Retired,,,NULL,
500,2025,2,piastri,mclaren,1,1,1,25.00,56,Finished,1:30:55.026,1:35.520,3,
501,2025,2,norris,mclaren,3,2,2,18.00,56,Finished,+9.748,1:35.454,1,
502,2025,2,russell,mercedes,2,3,3,15.00,56,Finished,+11.097,1:35.816,5,
503,2025,2,max_verstappen,red_bull,4,4,4,12.00,56,Finished,+16.656,1:35.488,2,
504,2025,2,ocon,haas,11,5,5,10.00,56,Finished,+49.969,1:35.740,4,
505,2025,2,antonelli,mercedes,8,6,6,8.00,56,Finished,+53.748,1:36.046,11,
506,2025,2,albon,williams,10,7,7,6.00,56,Finished,+56.321,1:36.254,12,
507,2025,2,bearman,haas,17,8,8,4.00,56,Finished,+1:01.303,1:36.363,13,
508,2025,2,stroll,aston_martin,14,9,9,2.00,56,Finished,+1:10.204,1:36.044,10,
509,2025,2,sainz,williams,15,10,10,1.00,56,Finished,+1:16.387,1:36.779,15,
510,2025,2,hadjar,rb,7,11,11,0.00,56,Finished,+1:18.875,1:35.868,6,
511,2025,2,lawson,red_bull,20,12,12,0.00,56,Finished,+1:21.147,1:35.985,9,
512,2025,2,doohan,alpine,18,13,13,0.00,56,Finished,+1:28.401,1:36.424,14,
513,2025,2,bortoleto,sauber,19,14,14,0.00,55,Lapped,+10.756,1:35.874,8,
514,2025,2,hulkenberg,sauber,12,15,15,0.00,55,Lapped,+20.226,1:37.275,16,
515,2025,2,tsunoda,rb,9,16,16,0.00,55,Lapped,+23.511,1:35.871,7,
516,2025,2,alonso,aston_martin,13,17,R,0.00,4,Retired,,1:39.256,17,
517,2025,2,leclerc,ferrari,6,18,D,0.00,0,Disqualified,,,NULL,
518,2025,2,hamilton,ferrari,5,19,D,0.00,0,Disqualified,,,NULL,
519,2025,2,gasly,alpine,16,20,D,0.00,0,Disqualified,,,NULL,
520,2025,3,max_verstappen,red_bull,1,1,1,25.00,53,Finished,1:22:06.983,1:31.041,3,
521,2025,3,norris,mclaren,2,2,2,18.00,53,Finished,+1.423,1:31.116,5,
522,2025,3,piastri,mclaren,3,3,3,15.00,53,Finished,+2.129,1:31.039,2,
523,2025,3,leclerc,ferrari,4,4,4,12.00,53,Finished,+16.097,1:31.469,10,
524,2025,3,russell,mercedes,5,5,5,10.00,53,Finished,+17.362,1:31.357,8,
525,2025,3,antonelli,mercedes,6,6,6,8.00,53,Finished,+18.671,1:30.965,1,
526,2025,3,hamilton,ferrari,8,7,7,6.00,53,Finished,+29.182,1:31.406,9,
